Name,Activities,Subsector Activities,PO Box,City,Fax,Email,Location,Manager
INTEL HR CONSULTING," Mise à disposition du personnel, gestion de la paie",None,None, Douala,None," derick.fonderson@intelhrc.com, audrey.bowor@intelhrc.com; vanessa.minsili@intelhrc.com; enow.mengotkpa@intelhrc.com"," Bonapriso, Rue Copseco, Immeuble avant collège copseco", Monsieur Derick NZO FONDERSON (Administrateur Général)
INSTRUMELEC CAMEROUN," Electricité Industrielle et tertiaire, électricité et intégrateur télécom, automatismes industiels et du bâtiment, énergies renouvelables et efficacité énergétique, SAV", services, B.P. 8171, DOUALA, 233 43 70 38, infos@instrumelec.com," Akwa, rue bernabé", Monsieur Alphonse BEDEL MILOL(Directeur général)
JFN CENTER SARL," Centre d'Innovation, d'Entrepreneuriat et de Formation Professionnelle"," Incubateur de projet, Accélération d'entreprise, Formation Professionnelle",None, Douala,None, center@jfn-univ.com, N3-Bonadoumbe Aéroport (face parc Transimex) - M062014579313G, Monsieur Antoine NKOLO (DG)
INTEK, Vente de matériel informatique, Commerce et distribution, B.P, YAOUNDE,  12841, intek@intek-cm.com," Yaoundé, Rue NARVICK, FACE MINMAP", Monsieur Isidore TEGUIA KAMDEM(Président du Conseil d'administration)
INTER'ACTIV CONSULTING SARL," Conseils en communiction, marketing et gestion  événementiel",None, BP 16257, YAOUNDE,None, interactivconsulting@yahoo.fr," Yaoundé, derrière usine bastos", Monsieur Alphonse ATEBA NOA (Directeur Général)
JEFFERSONS GROUP," Télécommunications, Commerce général, Tourisme",None,None, Douala,None, info@jeffersonsgroup.com, Boulevard de la Liberté (Akwa), M. Paul Elvice Sokoudjou  (CEO)()
IT SERVICES SARL," Informatique générale, développement et intégration de solutions informatiques",None,None, YAOUNDE,None, contact@its-nh.com, Nkolfoulou, Monsieur Eric KUISSEU (Directeur Général)
IUGET (INSTITUT UNIVERSITAIRE DES GRANDES ECOLES DE TROPIQUES), Enseignement,None, 25080, DOUALA,None, info@iuget.org," BONAMOUSSADi, ROND-POINT MAETUR"," Dr Joseph NGUEPI (PDG), Dr Hervey KEMFANG (DG)"
JMN CONSULTANT SARL, SERVICES AUX ENTREPRISES,None, BP 15590, YAOUNDE,None," serviceclient@jmnconsultant.fr, cedric.noiraud@jmnconsultant.fr"," Yaoundé, Bastos Ambassade d’Israël", Monsieur Cédric NOIRAUD (Directeur Général)
JURITAX CONSEIL SARL, Conseil fiscal,None,None, Douala, 233 42 47 99, juritax@juritaxconseil.com," 316, rue Victoria, Immeuble Victoria - Bonanjo", Mme. Laure Kenmogne Djoumessi  (Gérante)()
KPDC (KRIBI POWER DEVELOPMENT COMPANY), Production d'électricité,None, BP 12068, DOUALA,None, hadidjatou.goggo@globeleq.cm," Bali, Rue Bertaut", Monsieur Hans Françis SIMB NAG (D.G)
LA NEGRESSE Sarl, Téléphonie mobile, Services, B.P.15668, DOUALA,None, lanegresses.a.r.l@yahoo.fr," Bonanjo, face CRTV", Madame Crescence OTTOU(Directeur général)
L'ATRIUM, Commerce Général,None, 664, Douala,None, rakesh@deeliteglobal.com, Boulevard Besseke, M. Rakesh PANJABI
KPMG AFRIQUE CENTRALE," Expertise comptable, Conseil, Taxe",None,None, Douala, 233 43 96 85, thierrymbimi@kpmg.cm," Rue Victoria, Bonanjo", M. Thierry MBIMI   (Associé directeur général)()
KOMSON AFRICA LOGISTIC," Transport de marchandises, colis, déménagement, commerce général", Transport, B.P. 7203, DOUALA,None, komson.company@yahoo.com, ndogbong, Monsieur  Ignace DJOUM KOMGUEM(Gérant)
LA NOUVELLE EXPRESSION, Communication, Services,None, DOUALA, 233 43 26 69, lanouvelleexpression2005@yahoo.fr," Akwa, immeuble equinoxe", Monsieur Séverin TCHOUNKEU(Directeur général)
LA PASTA SA, Production de farine de blé et semoule, Industrie agro-alimentaire, B.P. 1887, DOUALA, 233 39 35 54, lapasta@cadyst-invest.com," Bonabéri, après les rails"," Monsieur Célestin TAWAMBA(Président Directeur Général); Madame Elisabeth KOUAM (Directeur Général Adjoint, GROUPE CADYST INVEST)"
LA ROYALE DES JEUX DU CAMEROUN," Loterie, Pari sportif"," Activités récréatives, culturelles et sportives",None, DOUALA,None, victoirelajoie@premier-africa.com, Akwa, Monsieur Joseph Lajoie KUIYA
MAERSK LINE AGENCY CAMEROUN," Transport maritime, transit, transport",None, 12414, Douala,None,None," 2 Maersk place, Zone UDEAC Bonanjo", M. Michel Konan KOFFI (Directeur Général)
LOTHE Consulting," Conseil, Audit, Risk management",None, B.P. 12727, YAOUNDE,None, agence.lothe@yahoo.fr," Yaoundé, Nouvelle route Bastos", Monsieur LOTHIN Louis Deshamps (D.G)
Longstar Equipment Cameroun," Vente et réparation d'engins et véhicules lourds, Vente de pièces de rechanges",None, 645, Douala,None, contact@longstarafrica.com, Zonz Portuaire-En face parc MOVIS, M. Long Hai (Directeur Général)
MAZARS CAMEROUN," Audit,expertise comptable et conseil juridique et fiscal", Cabinet conseil, B.P.3791, DOUALA, 233 42 91 70, info@mazars.cm," Akwa planet hotel, à coté cabinet okalla", Monsieur Lucien RIQUIER(Président directeur général)
LA SOLUTION," spécialités chimiques, traitements des eaux, nettoyage industriel, Import -export", Services aux entreprises, B.P. 7846, DOUALA,None, infosolution@solutionchimie.com; jeanbosconjoya@solutionchimie.com, Douala 3ème, Monsieur Jean Bosco NJOYA(Directeur général)
LES LABORATOIRES BIOPHARMA, Industrie cosmétique et pharmaceutique, Industrie cosmétique, B.P.1674, DOUALA, 233 37 53 79, biopharma@camnet.cm," Bassa, zone industrielle", Monsieur Francis NANA DJOMOU(Directeur général)
MAT-LEC," Vente de matériel et équipement électriques, froid et climatisation", Commerce et distribution,None, DOUALA, 233 43 14 80, matlec@matlec.com," Akwa, Beach, vers Rwking", Monsieur Mathias TSAGUE(Directeur général)
LMT GROUP (AXESS) SA, Prestations de services télécoms,None, BP 14183, YAOUNDE,None, roger.nono@lmtgroup.com," Yaoundé, Rue CEPER", Monsieur Alexis NANGNOU (D.G)
MAHIMA SARL," Commerce général,import-export, supermaché", Commerce et distribution, B.P. 15430, DOUALA, 233 43 69 83, contact@stemahima.com, Akwa, Monsieur DEVI DAS UDHARAM RAJWANI(Directeur général)
MAÏSCAM SA, Culture et transformation de maïs, Industrie agroalimentaire, B.P. 12472, DOUALA, 233 42 61 29 (Dla) 222 25 18 67(Ngaoundéré), begesth@yahoo.fr," Zone Portuaire, locaux SGMC", Monsieur ANTONIO DA COSTA(Directeur général)
MC DISTRIBUTION, Grande distribution de produits de consommation, Commerce et distribution, B.P.4327, DOUALA, 233 47 82 02, smaputh@hotmail.com," Bonamoussadi, Zone A", Monsieur Michel CRULIS(Directeur général)
MELODIUS Consulting, Conseil-Formation-Coaching, Cabinet conseil, B.P., YAOUNDE,None, claudelen.maellet@melodius.fr, Yaoundé Elig-Essono, Madame Claudélen MEALLET(Directeur général)
METROPOLITANS PLASTICS S.A., Production et distribution des cartons, Industrie du papier et cartons, B.P.398, LIMBE, 233 35 15 27, metropolitan_secretariat@yahoo.com; metropolitan_sm@yahoo.com, Limbé, Monsieur RAJENDRAKUMAR AMARBAHADUR(Directeur général)
MEDIA PLUS SARL, Communication publicitaire, Cabinet conseil, B.P. 425, DOUALA, 233 43 17 05, doohcollins@mediapluscam.com," Bali, a coté somatel", Monsieur Albert DOOH  COLLINS(Directeur général)
METCH-ELEC," Travaux d'ordre électrique, fournitures électriques, fourniture poteaux bois traités", Services,None, DOUALA, 233 42 57 99 / 233 47 63 92, info@metch-elec.com; metchelecdla@yahoo.fr, Akwa Rue Dobelle, Monsieur Gilbert METCHEKA(Directeur général)
MEDICARE SARL,  Soins de santé dans le domaine de la médecine de travail,None,None, Douala,None,  infos@medicare-group.org," Akwa, à coté de la DG MTN, immeuble R+4, 3ième étage", Monsieur Philippe Rolland NGANDEU (Directeur Général)
MIT CHIMIE,"  Distribution de produits chimiques et matière plastiques, fabrication d'emballages plastiques et préformes PET", Industrie de la plasturgie, B.P. 8722, DOUALA, 233 40 31 90, info@mitchimie.com; emmanuelwafo@mitchimie.com," Bassa, face ancien cnps", Monsieur Emmanuel  WAFO FOKO(Directeur général)
Mobile Money Corporation Limited,None,None, 15574, Douala, +237 679 00 90 40," mmc.contact@mtn.com, Enjema.Lyonga@mtn.com", 360 Rue Drouot, Monsieur Alain Claude Nono (Directeur Général)
MISTER CLEAN," Entretien, Nettoyage, Hygiène et Assainissement", Services aux entreprises, B.P. 09, DOUALA,None, misterclean87@gmail.com," Akwa, derrière Douala Bar", Monsieur Yves Olivier N'DEMA(Directeur Général)
MOLIGE S.A.R.L, AGRO INDUSTRIE, Industrie  agroalmientaire, B.P.12028, DOUALA,None, molige_sarl@yahoo.fr," Ndogbong, derrière camlait", Monsieur Jean Baptiste HOMSI(Directeur général)
MTN CAMEROON, Télécommunication, Télécoms, B.P. 15574, Douala, 677 90 90 40, Suzanne.Hot@mtn.com; marie-louise.nkembe@mtn.com; yetna_d@mtncameroon.net, Akwa, Mme MITWA NG'AMBI (Directeur Général)
MP SOLUTIONS SARL, Prestation de services,None,None, Douala,None, contact@mpsolutions.org, Rue Dikoume Bell (rue 1131), M. Mbile Pfouehr (DG)()
MULTIPRINT LABELS & PACKAGING," Imprimerie offset, numérique, sérigarphie, flexographie, héliogravure, métal et bois", Services, B.P. 5238 Douala-Cameroun, DOUALA,None, fatime.karagama@multiprint.cm; commerciaux@multiprint.cm," Bonabéri, Route Nationale N°3, avant échangeur de BEKOKO", François-Xavier TANKOU(DG)
MSMI (MULTI SERVICES MATERIEL INDUSTRIEL SARL)," Fabrication Mécanique, Maintenance industrielle, Industrie de transformation", Industrie métallique, B.P. 7584, DOUALA, 233 37 80 70, infos@msmi-cameroun.com, Zone Industrielle Bassa (derrière ICRAFON), Madame NGO YETNA Augustine  Audrey(Directeur général)
MSC (Mediterranean Shipping Company Cameroun)," Prestations maritimes, transit, Consignation, logistique",None,None, Douala,None, cmt.info@msc.com, Base navale,None
NACHTIGAL HYDRO POWER COMPANY (NHPC)," Construction et exploitation de la Centrale Hydroélectrique de 420 MWatt, site Nachtigal-Amont sur le fleuve Sanaga",None, 35543, Yaoundé,None," info@nhpc.com, abdoullahi.bagobiri@nhpc.com"," 1067 Bis, Rue 1750 Nouvelle Route de Bastos"," Monsieur AYEM Moger Jean Claude (PDG) Monsieur LEROUX Vincent (DG), Monsieur EDIMO Pierre (DGA)"
NAMé RECYCLING SARL, Recyclage,None, 112878, LIMBE,None, contact@name-recycling.com, New town Limbé, Roblain NTEMDIEU NAMEGNI (PDG)
MTA CAMEROUN SA," Transport colis fret, service postal, intermediation commerciale, hôtellerie, restauratio, entretien", Transport, B.P. 4448, DOUALA,None, mta.cameroun@mta-dc.com," Bonanjo, face SGCam", Monsieur  Bernard FOGUEN(Administrateur directeur général)
NATIONAL FINANCIAL CREDIT BANK, Banque, Banque, B.P. 6578, YAOUNDE, 222 20 28 22, infi@nfcbanksa.com," Bonanjo, à coté CBC", Monsieur Julius BERDU MANJO(Directeur général)
NAL BUSINESS & CORPORATION, fournitures industrielles, Services industriels, B.P. 1628, DOUALA, 233 43 48 21," nalbusiness@nalbusiness.cm, L.nintcheu@nalbusiness.cm"," Akwa, Carrefour Arno", Monsieur  Ambroise Legrand NINTCHEU NOUMBISSIE(Directeur général)
NESTLE CAMEROUN, Fabrication et commercialisation de produits alimentaires, Industrie agroalimentaire, B.P. 2622, DOUALA, 233 42 52 49, siege.nestlecameroun@cm.nestle.com," Akwa, immeuble Activa", Monsieur Aboubacar COULIBALY (Administrateur Directeur général)
NSIA, Commercialisation d'assurances, Assurance, B.P. 2759, DOUALA, 233 43 32 10," esther.tiako@groupensia.com, nsia.cm@groupensia.com"," Bonanjo, Ancien Immeuble SAGA (Bld de la liberté", Madame Esther TIAKO(Directeur général)
NEWTELNET CAMEROUN SAS, Commercialisation des services Informatiques & Télécommunication,None, 14891, Yaoundé,None," contact@newtelnet.net, s.mbomda@newtelnet.net"," Yaoundé, V-Mfandena, Nouvelle route Omnisport", Monsieur Chamberlain DJIEMENI (D.G.)
NEZAFI CAPITAL," Production et Distribution produits alimentaire, Immobilier,",None,None, YAOUNDE,None, infos@nezafi.com, Elig Essono, Monsieur Ernest Aimé DJATCHEU NZALI ( Directeur Général)
OK FOODS, INDUSTRIE AGRO-ALIMENTAIRE, Industrie agroalimentaire,None, DOUALA, 233 39 28 72 / 233 39 49 49, h.assi@okfoods-cam.com, Bonabéri (Après le Lycée), Monsieur ASSI HUSSEIN (Directeur Général)
NEWKO AUDIT, Cabinet d'audit et de conseil, Cabinet conseil, B.P. 1227, DOUALA, 233 42 99 44, charles.kooh@newko-cm.com," Bonanjo, immeuble CitIgroup", Monsieur Charles KOOH II(Associé Directeur général)
NOUVELLES FEMMES DYNAMIQUES AFRICAINES, Regroupement de Femmes Chef d'Entreprises,None, BP 3099, DOUALA,None, nfda2020@gmail.com," Akwa, à côté Vision Confort", Madame Valérie NOUGOUM TCHEDJOU (Présidente)
NT&C," Services (Informatiques, formation, multimédia)", Services, B.P. 15345, DOUALA, 2342 09 21, ntc@camnet.cm, Akwa, Monsieur Elie NTIEUPMA(Président Directeur général)
NOUBOU INTERNATIONAL HOTEL SA," Services Hôtellerie, restauration, tourisme",None, B.P 4168, DOUALA,None," reservations@noubouinternationalhotel.com,", AKWA (Rue Docteur Jeamot Ngodi), Monsieur François KENMOE (Président)
OAPA (Observatoire Africain de la Pratique des Affaires)," Etudes stratégiques sur le climat des affaires, plaidoyer institutionnel, accompagnement performances des entreprises",None,None, YAOUNDE,None, contact@oapa-abcs.org,None, Pr Justine DIFFO TCHUMKAM (Présidente)
OLAM CAM S.A., Industrie et Distribution Agro-Alimentaire, Agro-Industrie, B.P. 5207, DOUALA, 2 33 43 12 80," cameroon@olamnet.com; alaindidier.b@olamnet.com, olamcameroun@damnet.com"," Bonanjo, Zone portuaire, derrière Pullman Hotel", Monsieur VEERESH HIREMATH (Directeur général)
OK PLASTCAM Sarl, Industrie Matières Plastiques, Industrie de la plasturgie, B.P. 3033, DOUALA, 233 39 14 25, info@okplastcam.com," Bonaberi, zone Magzi", Monsieur Sami BAKER(Directeur général)
OLEA CAMEROUN SAS, Courtage en Assurances, Courtage en Assurances,None, Douala,None," cameroun@olea.africa, g.moutome@olea.africa", Bonanjo-Douala, Maurice BOUZEMARENE (Directeur Général)
OMOA CAMEROUN S.A, Monétique, Services, 12580, Douala, +237 233 42 69 68, jdchepda@omoa-group.com," 17 Place du gouvernement, Bonanjo", Jean-Daniel CHEPDA
OMED VOYAGE," Vente de billets d’avion, réservation d’hôtel, tourisme",None,None, DOUALA,None, omed.douala@yahoo.com," Akwa, à côté du Laboratoire d’analyse Douala Labo", Monsieur Heeresh SHIVDASANI (D.G)
OKALLA AHANDA & ASSOCIES, Expertise comptable - Audit - conseil en gestion - conseil juridique et fiscal, Cabnet comptable, B.P. 12628, DOUALA, 233 42 83 15, oakalla@okalla-ahanda.com," Akwa, face activa", Monsieur Jean Pierre  OKALLA AHANDA(Directeur général)
ONE WORLD BUSINESS SA, Vente de pièces détachées et batteries,None, BP 15688, DOUALA,None, oneworldbusiness@oneworld-b.com," Akwa, Avenue Ahmadou Ahidjo", Monsieur ABBA MOUSTAFA (D.G)
OUMAROU MOHAMADOU COMPANY (OMC), Commerce Général, Distribution des produits alimentaires, BP  2096 Douala, Douala,None, contact@omcsarl.com / bassoro@omcsarl.com, Bonapriso lieu dit Total," OUMAROU MOHAMADOU, ABDOULRAOUF ABDOURAMANE"
ORANGE CAMEROUN S.A., Téléphonie mobile, Télécoms, B.P. 1864, DOUALA, 233 42 74 30, samuel.ngondi@orange.com," Akwa, Boulevard de la Liberté", Monsieur Patrick BENON (Directeur général)
ONZFI (Office National des Zones Franches Industrielles), Administration et supervision du régime de la zone franche, Services aux entreprises, B.P. 925, DOUALA, 233 43 33 17, onzfi@onzfi.org," Bonanjo, à coté centre linguistique", Monsieur Robert TCHOUNGA(Directeur général)
PAK (PORT AUTONOME DE KRIBI)," Gestion, aménagement et exploitation portuaires",None, 203, Kribi,None, contact@pak.cm, Immeuble Emergence, Monsieur Patrice Barthélemy MELOM (DG);  Monsieur Jean Paul SIMO NJONOU (PCA)
PANESS CONSEIL (Panafric Engineering and Services)," Conseil et formation, audit, informatique, évenementiel", Cabinet Conseil formation, B.P. 5528, DOUALA, 233 42 47 82, contact@paness.net, Akwa, Monsieur  Dieudonné  TIETSE(Directeur général)
Perfect Services Sarl, Services aux entreprises,None, 6736, Douala,None, support@perfectservicessarl.com, Bonamoussadi-Denver, Mme ASEH SOLANGE ANJEKU (Directeur Général)
PIGIER CAMEROUN," Formation, enseignement supérieur", Services formation, B.P. 1133, DOUALA, 233 42 83 69," pigierdouala@yahoo.fr, pigierdouala@pigiercam.com", Akwa, Monsieur Henri TAFOU(Directeur général)
PAMOL PLANTATIONS, Production d'huile de palme, Agro-industrie, B.P. 5483, DOUALA, 233 43 05 41/ 677 99 15 97, pamol-lbe@pamol-plantations.com;  pamol-dla@pamol-plantation.com, Sud West, Monsieur MEKANYA Charles OKON(Directeur par intérim)
PANZANI CAMEROUN SA," Pâtes alimentaires, lais infantiles  & produits de négoce", Industrie Agroalimentaire, B.P. 848, DOUALA, 233378933, panzanicameroun@cadyst-invest.com," Bassa, Zone industrielle", Monsieur Célestin TAWAMBA(Président directeur général); M. Cyrille DJOFANG(Directeur général adjoint)
PHP (Plantations de Haut  Penja), Culture et exportation de bananes, Agro-industrie, B.P. 15317, DOUALA, 233 42 69 22, r.temkou@phpcam.net, Akwa, Monsieur Pascal FERRIER (Directeur Général)
PETROLEX CAMEROUN S.A, Distribution des produits pétroliers, Commerce et distribution, B.P. 1590, DOUALA, 233 40 27 14, petrolex@petrolex.net," Bonapriso,  Rue D. Savio, face centre PROMED", Monsieur Gabriel NDJIKE FOTSO(Président Directeur général)
PERFITCOM (Performance IT et Conseils en Management), Prestations de services informatiques,None, 665 Rue Boue de Lapayrere, Douala,None, info@perfitcom.com, Akwa, Monsieur Willy Patrick TAGNE NOUMOU (Directeur Général)
PERENCO RIO DEL REY, Industrie  Pétrolière, Industrie extractive, B.P. 12554, DOUALA, 233424359, jekeke@cm.perenco.com," Bonanjo, base Elf", Monsieur Adrien BROCHE (Directeur Général)
PLASTICAM," Industrie de transformation, emballage carton et plastique", Industrie de la plasturgie, B.P. 4071, DOUALA, 233 37 18 77, dir.general@plasticam.net; d.plasticam@gmail.com," Bassa, Rue 3w854 N°2060", Madame FOYOU Epse FANKAM YAMAKO Marielle (Directeur Général)
PORT AUTONOME DE DOUALA," Gestion, aménagement et exploitation portuaires", Transport, B.P. 4020, DOUALA, 233 42 67 97, pad@portdedouala.cameroun.com, Bonanjo, Monsieur Cyrus NGO'O(Directeur général)
POMME ROUGE Sarl, Transport,None, 1099, Douala,None, pommerougecm@gmail.com, Bonapriso, Mme PEGHETMO Salamatou epse BANTSE
PPSM, Distribution des produits hydrocarbures, Commerce et distribution, B.P. 1567, DOUALA, 233 42 37 68, info@assacam.com," Zone portuaire Blvd Leclerc, à coté 3T", Monsieur Samuel WEMBE(Directeur général)
PROMODIS AFRIQ SARL, Import-export, Commerce et distribution, B.P.8928, DOUALA, 233 41 05 10," contact@promodis-afriq.com, promodisafriq@ngouchetgroup.com"," Akwa, 17-Rue Druot", Monsieur Martin  NGOUCHET(Directeur général)
PROMETAL, construction metallique, Industrie métallurgique,None, DOUALA, 233 37 85 80, info@prometal-cm.com," Bassa, zone industrielle", Monsieur HAYSSAM EL JAMMAL(Directeur général)
PREMIUM FINANCIAL, Conseils financiers,None,None, DOUALA,None, mirelle.ngani@premium-financial.com,None, Madame Mirelle NGANI (Associé Gérant)
PRICEWATERHOUSECOOPERS TAX & LEGAL," Cabinet d''audit , conseil juridique et fiscal", Cabinet conseil,None, DOUALA,  233 42 86 39, nadine.tinen@cm.pwc.com," Bonanjo, entre air France et Eco bank", Madame Nadine TCHANGOUM TINEN(Directeur général)
RAZEL CAMEROUN, Travaux publics, BTP, B.P. 11306, YAOUNDE, 222 22 03 08," yleferec@razel.fr, fngono@razel.fr"," Yaoundé, Hotel de ville immeuble DHL", Monsieur Franck CASTELEYN (Directeur général)
PROXIMITY CARE SARL," Nettoyage industriel, hygiène et assainissement, entretien espaces verts",None, B.P 1056, DOUALA,None, proximitycare2013@yahoo.com / proximitycare2013@gmail.com," AKWA, Rue Boue Lapeyrere (Mermoz)", Mme. Nadine DJAMEN (Directeur Général)
"REPTIC.CM (Réseau des Professionnels du Secteur des Télécoms, des TIC et du Numérique du Cameroun.) "," Association des professionnels des Télécoms, TIC et Numérique",None,None, YAOUNDE,None," contact@reptic.cm, reptic.cm@gmail.com"," Localisation  Yaoundé, Total Tsinga, Esc 3, 1er étage (GTS)", Monsieur Pierre-François KAMANOU
RW KING," Commerce général, S.A.V (station diesel, maintenance) et réparation des moteurs industriels", Commerce et distribution,None, DOUALA, 233 42 22 85," rwking@rwkingcam.com, claude.ngankeng@rwkingcam.com"," Beach, Bld Leclerc", Monsieur Martin AZEMKOUO(Directeur général)
ROYAL CHIMIE S.A," Distributions intrants agricoles, produits chimiques, adjuvants bétons",None, 5724, DOUALA,None, info@royalchimie-phyto.cm / royal.chimie@gmail.com," Bonatéki-Déido, 1810, rue des garages", M. Etienne FOUEGOU (PDG)
SAB SARL (SIANTOU AFRICA BUILDING), Production  de solutions de revêtements mural et matériaux de construction,None,None, Yaoundé,None, sabinternational2015@gmail.com, Zone industrielle Mvan, Monsieur Lucien WANTOU SIANTOU
SAAGRY SARL, Agro-alimentaire, Industrie Agroalimentaire, B.P. 15170, DOUALA,None," info@saagry.cm, saagry@yahoo.fr", Bonamoussadi Zone MAGZI, Monsieur Anselme YOUSSA(Directeur général)
SAFCA - CAHIERS," Imprimerie offset et héliogravure, étiquettes papier, boîtes pliantes, découpes, emballages souples, affiches, dépliants", Industrie du papier et cartons, B.P. 1485, DOUALA, 233 39 01 43 / 677 99 19 83, safca3@yahoo.fr, Bonaberi, Monsieur Georges ADAM(Directeur général)
SAFACAM (Société Africaine Forestière et Agricole du Cameroun)," Hévéaculture, palmeraie", Agro-industrie,None, DOUALA,None, myateng@safacam.com, DIZANGUE, Monsieur Eric DE FORESTA(Directeur général)
SAE SA (SOCIETE AGROALIMENTAIRE EQUATORIALE), Fabrication de biscuits, Industrie Agro alimentaire, BP 1781, DOUALA, 233393554, sae@cadyst-invest.com, BONABERI, Monsieur Célestin TAWAMBA(Président directeur général); M. Cyrille DJOFANG(Directeur général adjoint)
SAGEMCOM Cameroun," Construction site GSM, Maintenance énergie des sites, études et constructions des centrales solaires",None,None, Douala,None, boubacar.diandy@sagemcom.com," Akwa, Rue dubois de saligny, immeuble white", Monsieur BOUBACAR DIANDY (Directeur Général)
SAAR (Société Africaine d'Assurance et de Réassurances), Assurances, Assurance, B.P. 1011, DOUALA, 233 43 17 59/233 43 09 79, contact@saar-assurances.com," Bonanjo, derrière chanas ass.", Monsieur Georges Léopold KAGOU(Directeur général)
SAICAM SARL, Transformation et commercialisation café moulu, Industrie agroalimentaire,None, Bafoussam, 233 44 37 91, saicamco@yahoo.fr," Bonapriso, Immeuble carré d'or; face immeuble chococho", Monsieur Louis DONGMO(Directeur général)
SCB Cameroun (Societe Commerciale  de Banque Cameroun), Services bancaires, Banque, B.P. 300, Douala, Yaoundé 222 22 88 05 /  Douala 233 42 65 04, ca_scb@scbcameroun.com, Bonanjo, Monsieur Alexandre BEZIAUD (Directeur Général)
SAPTRANS SARL, Transport, Transport, B.P. 191, Douala, 233 04 87 25," contact@sapougroup.cm, sapou.etienne@sapougroup.cm, marie.koyou@groupesapou.com", Yassa (face sté Azur derrière le cnafop), Monsieur Etienne SAPOU KANA(Directeur général)
SANLAM ASSURANCES, Assurances,None, BP 12125, Douala, 233 42 47 27, cameroun@sahamassurance.com," 34, Rue Dinde, Bonanjo", Monsieur Théophile Gérard MOULONG (DG)
SCADTC (Syndicat des Commissionnaires Agrées en  Douane et  Transitaire du Cameroun)," Opérations d'importations et d'exportations, passage en douane, transit", Syndicat, B.P. 73, DOUALA, 233 42 11 31," syndmar_gpac@yahoo.fr, mbeumo.andre@sapem.net", Zone Portuaire, Monsieur André MBEUMO(Président)
SAPACI SARL (Société Africaine des Produits Alimentaires CIAMS Industries)," Boulangerie, patisserie", Agro-industrie,None,None,None, sapaci2000@yahoo.fr," Makèpè, Rhone Poulenc", Monsieur Enoch CIAMS
SCI IMMO 2000, Promotion Immobilière, Services aux entreprises, B.P 15330, DOUALA,None, contact@sci2m.com, Bali, Monsieur Jules FONDJA(Directeur général)
SCDP (Société Camerounaise des Dépôts Pétroliers), Distribution de produits pétroliers, Commerce et distribution, B.P. 2271, DOUALA, 233 40 47 96, sdg-scdp@yahoo.fr/blaiseatangana2010@hotmail.fr," Mbopi, Carrefour agip", Mme Véronique MOAMPEA MBIO née MANZOUA (Directeur général)
SCHNEIDER ELECTRIC CAMEROUN , Représentation Commerciale,None, 12087, DOUALA,None," herve.kamdem@se.com, aaron.takodjou@se.com", Douala - Bonanjo | M079700006849W, M. MOULOUNDOU MAYAMBIKA Emile Parfait (Administrateur Général)
SANLAM LIFE, Assurance Vie, Assurance, B.P.267, DOUALA, 233 43 12 37, martin.foncha@sahamassurance.com, Immeuble Saham Assurance - sis au 34 rue Dinde - Bonanjo derrière l’Immeuble CNPS, M. Vincent ONGONO NDZOMO(Directeur général)
SCS (SOCIETE CAMEROUNAISE DE SAVONNERIE), SAVONNERIE, Industrie cosmétique,None, BAFOUSSAM, 233 44 16 72 / 233 44 30 66, scs.sarl@yahoo.fr," Bafoussam, Kamkop", Monsieur Jean II FOTSO(Président directeur général)
SCTM (Société Camerounaise de Transformation Métallique)," Fabrication bouteilles de gaz, tout emboutissage, distribution gaz domestique, équipement métallique", Industrie métallique, B.P. 9091, DOUALA, 233 39 00 14, infos@sctmsa.com," Bonabéri, zone industrielle", Monsieur Ludovic SIELIENOU(Directeur général)
SCIN (Societe Camerounaise d'intermediation et de négoce)," Imprimerie, ouvrage d'arts, travaux ferroviaires", BTP,None, DOUALA, 233 42 39 84, scinafrique@yahoo.fr," Bonapriso, face copteco", Monsieur Ismael NJOYA(Directeur général)
SCI PARADICIO, Carrière industrielle - Production des agrégats,None, 13592, YAOUNDE,None,None, Akak 1 - Soa, Monsieur MBOGO OTABELA (D.G)
SCR MAYA & Co (Société Camerounaise de Raffinage MAYA et Cie)," Raffinage d'huile de palme brute (savonnerie, unité de fabrication de mayonnaise, unité de fabrication de bougies)", Industrie agroalimentaire, B.P. 2851, DOUALA, 233 39 13 48 / 233 39 17 43," scrmaya@camnet.cm; transitscrm@hotmail.com, secretariatdg@scrmaya.com"," Bonaberi, zone industrielle", Monsieur Olivier SCHIANO(Directeur général)
SECURITY SERVICES GROUP, Gardiennage, Services aux entreprises, BP 4997, DOUALA, 233 42 22 75, ssgcameroon@ymail.com, Bonapriso, Monsieur Alain Simplice TCHOKOKAM(Directeur général)
SDCRA," Prestations de services, distribution, transit, négoce international, commerce général, import-export",None, 3099, DOUALA,None, sdcrasarl1@gmail.com/ moboustella@yahoo.fr, Akwa (près de la Direction Nextel), Valérie NOUGOUM TCHEDJOU (PDG)
SCIEC (SYNDICAT DES COMMERCANTS IMPORTATEURS EXPORTATEURS DU CAMEROUN)," Import-export, distribution", Syndicat, B.P. 829, DOUALA, Douala 233 43 38 80 / Ydé 222 20 07 52, gicam@legicam.org," Bonabéri, Cami Toyota", Monsieur Christian Kouam Dzukou(Président)
